Sector,Companies,Employees,Revenues,Assets,Profits,Debt
Communication Services,372057,44670868,13029322924166.0,5552357670387.955,366151659868.8701,1579964693852.1296
Consumer Discretionary,303210,139054596,31427825133628.0,9590467064142.367,432881698608.21027,3323309087754.699
Consumer Staples,64878,39258770,10297680176645.0,3816530668267.9375,209963138126.69043,1279444970918.977
Energy,13414,6401738,7437634525838.0,5882259582544.912,315672132410.928,1478316664485.1975
Financials,169463,54827173,18008045194468.0,160269030465240.94,1428653146205.0098,30796462111428.465
Health Care,143334,49241427,11131798449999.0,5238571443627.875,319737571205.9844,1484974528238.6548
Industrials,431568,143195595,35475921945969.0,13440371897948.207,430312081048.63855,4113363764725.3716
Information Technology,207636,49888104,10967208929599.0,6694117251551.676,417532128045.93164,1674451394549.4426
Materials,39206,20185680,7456532151741.0,5505049185813.555,407794790075.0143,1477168474817.5242
Real Estate,43410,5757710,2945700174119.0,18066231932344.33,607681184446.8506,2470372316669.5103
Utilities,18582,7857722,5144746048200.0,6053141445573.543,112391604132.53345,2226606447716.408
