Format,Year,year_date,Units,Revenues_in_millions_Adjusted_for_inflation_,Disc,Download,Other,Streaming,Tape,Vinyl
8 - Track,1973,1973-01-01,91,2815.681824,NA,NA,NA,NA,489,NA
8 - Track,1974,1974-01-01,96.7,2848.008609,NA,NA,NA,NA,549.2,NA
8 - Track,1975,1975-01-01,94.6,2770.409498,NA,NA,NA,NA,583,NA
8 - Track,1976,1976-01-01,106.1,3047.215772,NA,NA,NA,NA,678.2,NA
8 - Track,1977,1977-01-01,127.3,3421.416287,NA,NA,NA,NA,811,NA
8 - Track,1978,1978-01-01,133.6,3717.221411,NA,NA,NA,NA,948,NA
8 - Track,1979,1979-01-01,102.3,2409.72569,NA,NA,NA,NA,684.3,NA
8 - Track,1980,1980-01-01,85,1635.087852,NA,NA,NA,NA,527,NA
8 - Track,1981,1981-01-01,50,880.3150825,NA,NA,NA,NA,313,NA
8 - Track,1982,1982-01-01,13.7,95.37463212,NA,NA,NA,NA,36,NA
Cassette,1973,1973-01-01,15,437.6110811,NA,NA,NA,NA,76,NA
Cassette,1974,1974-01-01,15.3,452.1965598,NA,NA,NA,NA,87.2,NA
Cassette,1975,1975-01-01,16.2,469.4964981,NA,NA,NA,NA,98.8,NA
Cassette,1976,1976-01-01,21.8,654.6436714,NA,NA,NA,NA,145.7,NA
Cassette,1977,1977-01-01,36.9,1053.003089,NA,NA,NA,NA,249.6,NA
Cassette,1978,1978-01-01,61.3,1763.71961,NA,NA,NA,NA,449.8,NA
Cassette,1979,1979-01-01,78.5,2044.551711,NA,NA,NA,NA,580.6,NA
Cassette,1980,1980-01-01,99,2187.356614,NA,NA,NA,NA,705,NA
Cassette,1981,1981-01-01,124,2989.133769,NA,NA,NA,NA,1062.8,NA
Cassette,1982,1982-01-01,183.2,3667.949394,NA,NA,NA,NA,1384.5,NA
Cassette,1983,1983-01-01,236.8,4648.285756,NA,NA,NA,NA,1810.9,NA
Cassette,1984,1984-01-01,332,5865.839483,NA,NA,NA,NA,2383.9,NA
Cassette,1985,1985-01-01,339.1,5729.710553,NA,NA,NA,NA,2411.5,NA
Cassette,1986,1986-01-01,344.5,5830.425835,NA,NA,NA,NA,2499.5,NA
Cassette,1987,1987-01-01,410,6660.810061,NA,NA,NA,NA,2959.7,NA
Cassette,1988,1988-01-01,450.1,7315.507276,NA,NA,NA,NA,3385.1,NA
Cassette,1989,1989-01-01,446.2,6898.20315,NA,NA,NA,NA,3345.8,NA
Cassette,1990,1990-01-01,442.2,6792.221628,NA,NA,NA,NA,3472.4,NA
Cassette,1991,1991-01-01,360.1,5668.002035,NA,NA,NA,NA,3019.6,NA
Cassette,1992,1992-01-01,366.4,5678.573835,NA,NA,NA,NA,3116.3,NA
Cassette,1993,1993-01-01,339.5,5158.786717,NA,NA,NA,NA,2915.8,NA
Cassette,1994,1994-01-01,345.4,5134.531004,NA,NA,NA,NA,2976.4,NA
Cassette,1995,1995-01-01,272.6,3864.379693,NA,NA,NA,NA,2303.6,NA
Cassette,1996,1996-01-01,225.3,3104.546094,NA,NA,NA,NA,1905.3,NA
Cassette,1997,1997-01-01,172.6,2425.476099,NA,NA,NA,NA,1522.7,NA
Cassette,1998,1998-01-01,158.5,2227.039106,NA,NA,NA,NA,1419.9,NA
Cassette,1999,1999-01-01,123.6,1629.084461,NA,NA,NA,NA,1061.6,NA
Cassette,2000,2000-01-01,76,929.3918815,NA,NA,NA,NA,626,NA
Cassette,2001,2001-01-01,45,524.5948831,NA,NA,NA,NA,363.4,NA
Cassette,2002,2002-01-01,31.1,298.1480745,NA,NA,NA,NA,209.8,NA
Cassette,2003,2003-01-01,17.2,150.1984875,NA,NA,NA,NA,108.1,NA
Cassette,2004,2004-01-01,5.2,32.07554738,NA,NA,NA,NA,23.7,NA
Cassette,2005,2005-01-01,2.5,17.14852381,NA,NA,NA,NA,13.1,NA
Cassette,2006,2006-01-01,0.7,4.69211756,NA,NA,NA,NA,3.7,NA
Cassette,2007,2007-01-01,0.4,3.699811867,NA,NA,NA,NA,3,NA
Cassette,2008,2008-01-01,0.1,1.068685991,NA,NA,NA,NA,0.9,NA
Cassette Single,1987,1987-01-01,5.1,32.18217518,NA,NA,NA,NA,14.3,NA
Cassette Single,1988,1988-01-01,22.5,123.8304827,NA,NA,NA,NA,57.3,NA
Cassette Single,1989,1989-01-01,76.2,401.21655,NA,NA,NA,NA,194.6,NA
Cassette Single,1990,1990-01-01,87.4,504.4677911,NA,NA,NA,NA,257.9,NA
Cassette Single,1991,1991-01-01,69,432.4770396,NA,NA,NA,NA,230.4,NA
Cassette Single,1992,1992-01-01,84.6,544.4783436,NA,NA,NA,NA,298.8,NA
Cassette Single,1993,1993-01-01,85.6,528.1218997,NA,NA,NA,NA,298.5,NA
Cassette Single,1994,1994-01-01,81.1,474.2247591,NA,NA,NA,NA,274.9,NA
Cassette Single,1995,1995-01-01,70.7,396.4025532,NA,NA,NA,NA,236.3,NA
Cassette Single,1996,1996-01-01,59.9,308.4504149,NA,NA,NA,NA,189.3,NA
Cassette Single,1997,1997-01-01,42.2,212.6492804,NA,NA,NA,NA,133.5,NA
Cassette Single,1998,1998-01-01,26.4,148.0614773,NA,NA,NA,NA,94.4,NA
Cassette Single,1999,1999-01-01,14.2,73.65867947,NA,NA,NA,NA,48,NA
Cassette Single,2000,2000-01-01,1.3,6.829397213,NA,NA,NA,NA,4.6,NA
CD,1983,1983-01-01,0.8,44.14960241,17.2,NA,NA,NA,NA,NA
CD,1984,1984-01-01,5.8,254.1806362,103.3,NA,NA,NA,NA,NA
CD,1985,1985-01-01,22.6,925.4498281,389.5,NA,NA,NA,NA,NA
CD,1986,1986-01-01,53,2169.585545,930.1,NA,NA,NA,NA,NA
CD,1987,1987-01-01,102.1,3586.399606,1593.6,NA,NA,NA,NA,NA
CD,1988,1988-01-01,149.7,4516.462927,2089.9,NA,NA,NA,NA,NA
CD,1989,1989-01-01,207.2,5335.190475,2587.7,NA,NA,NA,NA,NA
CD,1990,1990-01-01,286.5,6751.535587,3451.6,NA,NA,NA,NA,NA
CD,1991,1991-01-01,333.3,8142.168641,4337.7,NA,NA,NA,NA,NA
CD,1992,1992-01-01,407.5,9706.037138,5326.5,NA,NA,NA,NA,NA
CD,1993,1993-01-01,495.4,11520.31135,6511.4,NA,NA,NA,NA,NA
CD,1994,1994-01-01,662.1,14601.94788,8464.5,NA,NA,NA,NA,NA
CD,1995,1995-01-01,722.9,15730.95769,9377.4,NA,NA,NA,NA,NA
CD,1996,1996-01-01,778.9,16187.86232,9934.7,NA,NA,NA,NA,NA
CD,1997,1997-01-01,753.1,15793.54966,9915.1,NA,NA,NA,NA,NA
CD,1998,1998-01-01,847,17905.40069,11416,NA,NA,NA,NA,NA
CD,1999,1999-01-01,938.9,19667.32779,12816.3,NA,NA,NA,NA,NA
CD,2000,2000-01-01,942.5,19618.92814,13214.5,NA,NA,NA,NA,NA
CD,2001,2001-01-01,881.9,18635.67745,12909.4,NA,NA,NA,NA,NA
CD,2002,2002-01-01,803.3,17115.94482,12044.1,NA,NA,NA,NA,NA
CD,2003,2003-01-01,746,15607.44302,11232.9,NA,NA,NA,NA,NA
CD,2004,2004-01-01,767,15491.67735,11446.5,NA,NA,NA,NA,NA
CD,2005,2005-01-01,705.4,13771.44276,10520.2,NA,NA,NA,NA,NA
CD,2006,2006-01-01,619.7,11885.76785,9372.6,NA,NA,NA,NA,NA
CD,2007,2007-01-01,499.7,9190.702658,7452.3,NA,NA,NA,NA,NA
CD,2008,2008-01-01,368.4,6496.779627,5471.3,NA,NA,NA,NA,NA
CD,2009,2009-01-01,296.6,5146.57822,4318.8,NA,NA,NA,NA,NA
CD,2010,2010-01-01,253,3973.859173,3389.4,NA,NA,NA,NA,NA
CD,2011,2011-01-01,240.8,3524.136143,3100.7,NA,NA,NA,NA,NA
CD,2012,2012-01-01,198.1643872,2767.776149,2485.614699,NA,NA,NA,NA,NA
CD,2013,2013-01-01,173.7933029,2349.534897,2140.917718,NA,NA,NA,NA,NA
CD,2014,2014-01-01,138.7023634,1918.215115,1776.249324,NA,NA,NA,NA,NA
CD,2015,2015-01-01,117.1440518,1558.633452,1444.993194,NA,NA,NA,NA,NA
CD,2016,2016-01-01,97.5770712,1204.497778,1130.764651,NA,NA,NA,NA,NA
CD,2017,2017-01-01,87.68249997,1102.774352,1057.32309,NA,NA,NA,NA,NA
CD,2018,2018-01-01,51.95427564,711.0412395,698.3866372,NA,NA,NA,NA,NA
CD,2019,2019-01-01,46.50649558,614.5097799,614.5097799,NA,NA,NA,NA,NA
CD Single,1988,1988-01-01,1.6,21.17868639,9.8,NA,NA,NA,NA,NA
CD Single,1990,1990-01-01,1.1,11.73635807,6,NA,NA,NA,NA,NA
CD Single,1991,1991-01-01,5.7,65.88517401,35.1,NA,NA,NA,NA,NA
CD Single,1992,1992-01-01,7.3,82.1819722,45.1,NA,NA,NA,NA,NA
CD Single,1993,1993-01-01,7.8,81.03176886,45.8,NA,NA,NA,NA,NA
CD Single,1994,1994-01-01,9.3,96.77704251,56.1,NA,NA,NA,NA,NA
CD Single,1995,1995-01-01,21.5,186.0391161,110.9,NA,NA,NA,NA,NA
CD Single,1996,1996-01-01,43.2,299.9773977,184.1,NA,NA,NA,NA,NA
CD Single,1997,1997-01-01,66.7,434.3779682,272.7,NA,NA,NA,NA,NA
CD Single,1998,1998-01-01,56,334.3930822,213.2,NA,NA,NA,NA,NA
CD Single,1999,1999-01-01,55.9,341.2852149,222.4,NA,NA,NA,NA,NA
CD Single,2000,2000-01-01,34.2,211.8597787,142.7,NA,NA,NA,NA,NA
CD Single,2001,2001-01-01,17.3,114.6197956,79.4,NA,NA,NA,NA,NA
CD Single,2002,2002-01-01,4.5,27.85368093,19.6,NA,NA,NA,NA,NA
CD Single,2003,2003-01-01,8.3,50.01984783,36,NA,NA,NA,NA,NA
CD Single,2004,2004-01-01,3.1,20.30097935,15,NA,NA,NA,NA,NA
CD Single,2005,2005-01-01,2.8,14.26861905,10.9,NA,NA,NA,NA,NA
CD Single,2006,2006-01-01,1.7,9.764677083,7.7,NA,NA,NA,NA,NA
CD Single,2007,2007-01-01,2.6,15.04590159,12.2,NA,NA,NA,NA,NA
CD Single,2008,2008-01-01,0.7,4.156001078,3.5,NA,NA,NA,NA,NA
CD Single,2009,2009-01-01,0.9,3.694172567,3.1,NA,NA,NA,NA,NA
CD Single,2010,2010-01-01,1,3.400068331,2.9,NA,NA,NA,NA,NA
CD Single,2011,2011-01-01,1.3,3.977965137,3.5,NA,NA,NA,NA,NA
CD Single,2012,2012-01-01,1.072870407,3.59119832,3.225092945,NA,NA,NA,NA,NA
CD Single,2013,2013-01-01,0.628895398,2.684056894,2.445737226,NA,NA,NA,NA,NA
CD Single,2014,2014-01-01,0.928725116,3.905023683,3.616015547,NA,NA,NA,NA,NA
CD Single,2015,2015-01-01,0.386721563,1.291079457,1.19694661,NA,NA,NA,NA,NA
CD Single,2016,2016-01-01,0.121745255,0.280361354,0.263199082,NA,NA,NA,NA,NA
CD Single,2017,2017-01-01,0.13261663,1.542258972,1.478694184,NA,NA,NA,NA,NA
CD Single,2018,2018-01-01,0.020854078,0.157981482,0.15516984,NA,NA,NA,NA,NA
CD Single,2019,2019-01-01,0.026257455,0.181678878,0.181678878,NA,NA,NA,NA,NA
Download Album,2004,2004-01-01,4.6,61.57963737,NA,45.5,NA,NA,NA,NA
Download Album,2005,2005-01-01,13.6,177.6377619,NA,135.7,NA,NA,NA,NA
