gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1933386731	e386d77e-4713-4289-bd01-6d0115c718ed	NMZBENT000004382	Animalia	Arthropoda	Insecta	Orthoptera	Acrididae	Acorypha	Acorypha pallidicornis		SPECIES	Acorypha pallidicornis (Stål, 1876)	Acorypha pallidicornis		ZW			PRESENT		5f2df235-914f-4cc9-b247-08fb981e8b8a									1996-05-10	10	5	1996	1713787	1713787	PRESERVED_SPECIMEN	NMZB						CC_BY_NC_4_0					2024-01-25T01:24:51.605Z		CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1933386730	e386d77e-4713-4289-bd01-6d0115c718ed	NMZBENT000004346	Animalia	Arthropoda	Insecta	Orthoptera	Acrididae	Acorypha	Acorypha pallidicornis		SPECIES	Acorypha pallidicornis (Stål, 1876)	Acorypha pallidicornis		ZW			PRESENT		5f2df235-914f-4cc9-b247-08fb981e8b8a									1937-04-01	1	4	1937	1713787	1713787	PRESERVED_SPECIMEN	NMZB						CC_BY_NC_4_0					2024-01-25T01:24:51.760Z		CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1933386729	e386d77e-4713-4289-bd01-6d0115c718ed	NMZBENT000004349	Animalia	Arthropoda	Insecta	Orthoptera	Acrididae	Acorypha	Acorypha pallidicornis		SPECIES	Acorypha pallidicornis (Stål, 1876)	Acorypha pallidicornis		ZW			PRESENT		5f2df235-914f-4cc9-b247-08fb981e8b8a									1971-04-22	22	4	1971	1713787	1713787	PRESERVED_SPECIMEN	NMZB						CC_BY_NC_4_0					2024-01-25T01:24:51.747Z		CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1933386728	e386d77e-4713-4289-bd01-6d0115c718ed	NMZBENT000004363	Animalia	Arthropoda	Insecta	Orthoptera	Acrididae	Acorypha	Acorypha pallidicornis		SPECIES	Acorypha pallidicornis (Stål, 1876)	Acorypha pallidicornis		ZW			PRESENT		5f2df235-914f-4cc9-b247-08fb981e8b8a									1986-04-20	20	4	1986	1713787	1713787	PRESERVED_SPECIMEN	NMZB						CC_BY_NC_4_0					2024-01-25T01:24:51.800Z		CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1933386727	e386d77e-4713-4289-bd01-6d0115c718ed	NMZBENT000004407	Animalia	Arthropoda	Insecta	Orthoptera	Acrididae	Oxycatantops	Oxycatantops spissus		SPECIES	Catantops spissus (Walker, 1870)	Catantops spissus		ZW			PRESENT		5f2df235-914f-4cc9-b247-08fb981e8b8a									1965-11-20	20	11	1965	1711997	1711990	PRESERVED_SPECIMEN	NMZB						CC_BY_NC_4_0					2024-01-25T01:24:51.370Z		CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1933386726	e386d77e-4713-4289-bd01-6d0115c718ed	NMZBENT000004414	Animalia	Arthropoda	Insecta	Orthoptera	Acrididae	Oxycatantops	Oxycatantops spissus		SPECIES	Catantops spissus (Walker, 1870)	Catantops spissus		ZW			PRESENT		5f2df235-914f-4cc9-b247-08fb981e8b8a									1967-11-01	1	11	1967	1711997	1711990	PRESERVED_SPECIMEN	NMZB						CC_BY_NC_4_0					2024-01-25T01:24:51.542Z		CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1933386725	e386d77e-4713-4289-bd01-6d0115c718ed	NMZBENT000004421	Animalia	Arthropoda	Insecta	Orthoptera	Acrididae	Oxycatantops	Oxycatantops spissus		SPECIES	Catantops spissus (Walker, 1870)	Catantops spissus		ZW			PRESENT		5f2df235-914f-4cc9-b247-08fb981e8b8a									1994-06-26	26	6	1994	1711997	1711990	PRESERVED_SPECIMEN	NMZB						CC_BY_NC_4_0					2024-01-25T01:24:51.516Z		CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1933386724	e386d77e-4713-4289-bd01-6d0115c718ed	NMZBENT000004397	Animalia	Arthropoda	Insecta	Orthoptera	Acrididae	Oxycatantops	Oxycatantops spissus		SPECIES	Catantops spissus (Walker, 1870)	Catantops spissus		ZW			PRESENT		5f2df235-914f-4cc9-b247-08fb981e8b8a									1960-11-01	1	11	1960	1711997	1711990	PRESERVED_SPECIMEN	NMZB						CC_BY_NC_4_0					2024-01-25T01:24:51.618Z		CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1933386723	e386d77e-4713-4289-bd01-6d0115c718ed	NMZBENT000004366	Animalia	Arthropoda	Insecta	Orthoptera	Acrididae	Acorypha	Acorypha pallidicornis		SPECIES	Acorypha pallidicornis (Stål, 1876)	Acorypha pallidicornis		ZW			PRESENT		5f2df235-914f-4cc9-b247-08fb981e8b8a									1989-08-20	20	8	1989	1713787	1713787	PRESERVED_SPECIMEN	NMZB						CC_BY_NC_4_0					2024-01-25T01:24:51.801Z		CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
1933386722	e386d77e-4713-4289-bd01-6d0115c718ed	NMZBENT000004431	Animalia	Arthropoda	Insecta	Orthoptera	Acrididae	Oxycatantops	Oxycatantops spissus		SPECIES	Catantops spissus (Walker, 1870)	Catantops spissus		ZW			PRESENT		5f2df235-914f-4cc9-b247-08fb981e8b8a									1996-05-05	5	5	1996	1711997	1711990	PRESERVED_SPECIMEN	NMZB						CC_BY_NC_4_0					2024-01-25T01:24:51.555Z		CONTINENT_DERIVED_FROM_COUNTRY;TAXON_MATCH_SCIENTIFIC_NAME_ID_IGNORED;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
