rownames;Task;Who;Freq
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
1;Breakfast;Alternating;36
2;Dinner;Alternating;11
2;Dinner;Alternating;11
2;Dinner;Alternating;11
2;Dinner;Alternating;11
2;Dinner;Alternating;11
2;Dinner;Alternating;11
2;Dinner;Alternating;11
2;Dinner;Alternating;11
2;Dinner;Alternating;11
2;Dinner;Alternating;11
2;Dinner;Alternating;11
3;Dishes;Alternating;24
3;Dishes;Alternating;24
3;Dishes;Alternating;24
3;Dishes;Alternating;24
3;Dishes;Alternating;24
3;Dishes;Alternating;24
3;Dishes;Alternating;24
3;Dishes;Alternating;24
3;Dishes;Alternating;24
3;Dishes;Alternating;24
3;Dishes;Alternating;24
3;Dishes;Alternating;24
3;Dishes;Alternating;24
3;Dishes;Alternating;24
3;Dishes;Alternating;24
3;Dishes;Alternating;24
3;Dishes;Alternating;24
3;Dishes;Alternating;24
3;Dishes;Alternating;24
3;Dishes;Alternating;24
3;Dishes;Alternating;24
